algorithm,run_idx,peer,upload_bytes
rarest_first,0,full,524288
rarest_first,0,low_a,131072
rarest_first,0,low_b,196608
rarest_first,0,low_c,196608
rarest_first,1,full,524288
rarest_first,1,low_a,196608
rarest_first,1,low_b,131072
rarest_first,1,low_c,196608
rarest_first,2,full,524288
rarest_first,2,low_a,131072
rarest_first,2,low_b,196608
rarest_first,2,low_c,196608
rarest_first,3,full,524288
rarest_first,3,low_a,196608
rarest_first,3,low_b,131072
rarest_first,3,low_c,196608
rarest_first,4,full,524288
rarest_first,4,low_a,131072
rarest_first,4,low_b,196608
rarest_first,4,low_c,196608
random,0,full,655360
random,0,low_a,131072
random,0,low_b,131072
random,0,low_c,131072
random,1,full,589824
random,1,low_a,131072
random,1,low_b,131072
random,1,low_c,196608
random,2,full,589824
random,2,low_a,131072
random,2,low_b,131072
random,2,low_c,196608
random,3,full,524288
random,3,low_a,131072
random,3,low_b,196608
random,3,low_c,196608
random,4,full,589824
random,4,low_a,131072
random,4,low_b,196608
random,4,low_c,131072
