algorithm,run_idx,piece_index,rarity_class,first_seen_s,completed_s
rarest_first,0,0,common,0.0121,0.0170
rarest_first,0,1,common,0.0062,0.0100
rarest_first,0,2,common,0.0169,0.0215
rarest_first,0,3,common,0.0111,0.0147
rarest_first,0,4,common,0.0060,0.0091
rarest_first,0,5,common,0.0061,0.0092
rarest_first,0,6,common,0.0171,0.0214
rarest_first,0,7,common,0.0108,0.0144
rarest_first,0,8,rare,0.0302,0.0312
rarest_first,0,9,rare,0.0201,0.0232
rarest_first,0,10,rare,0.0118,0.0169
rarest_first,0,11,rare,0.0061,0.0098
rarest_first,0,12,rare,0.0260,0.0270
rarest_first,0,13,rare,0.0247,0.0257
rarest_first,0,14,rare,0.0273,0.0285
rarest_first,0,15,rare,0.0288,0.0298
rarest_first,1,0,common,0.0131,0.0168
rarest_first,1,1,common,0.0071,0.0102
rarest_first,1,2,common,0.0122,0.0166
rarest_first,1,3,common,0.0035,0.0060
rarest_first,1,4,common,0.0081,0.0116
rarest_first,1,5,common,0.0085,0.0129
rarest_first,1,6,common,0.0034,0.0055
rarest_first,1,7,common,0.0035,0.0064
rarest_first,1,8,rare,0.0124,0.0169
rarest_first,1,9,rare,0.0195,0.0204
rarest_first,1,10,rare,0.0233,0.0242
rarest_first,1,11,rare,0.0221,0.0230
rarest_first,1,12,rare,0.0035,0.0062
rarest_first,1,13,rare,0.0183,0.0192
rarest_first,1,14,rare,0.0078,0.0113
rarest_first,1,15,rare,0.0209,0.0218
rarest_first,2,0,common,0.0087,0.0123
rarest_first,2,1,common,0.0036,0.0058
rarest_first,2,2,common,0.0088,0.0125
rarest_first,2,3,common,0.0164,0.0194
rarest_first,2,4,common,0.0127,0.0164
rarest_first,2,5,common,0.0037,0.0065
rarest_first,2,6,common,0.0036,0.0062
rarest_first,2,7,common,0.0071,0.0109
rarest_first,2,8,rare,0.0037,0.0064
rarest_first,2,9,rare,0.0197,0.0221
rarest_first,2,10,rare,0.0235,0.0244
rarest_first,2,11,rare,0.0247,0.0256
rarest_first,2,12,rare,0.0224,0.0232
rarest_first,2,13,rare,0.0260,0.0268
rarest_first,2,14,rare,0.0080,0.0120
rarest_first,2,15,rare,0.0151,0.0186
rarest_first,3,0,common,0.0076,0.0102
rarest_first,3,1,common,0.0116,0.0151
rarest_first,3,2,common,0.0078,0.0107
rarest_first,3,3,common,0.0036,0.0061
rarest_first,3,4,common,0.0142,0.0176
rarest_first,3,5,common,0.0037,0.0067
rarest_first,3,6,common,0.0036,0.0054
rarest_first,3,7,common,0.0082,0.0130
rarest_first,3,8,rare,0.0197,0.0209
rarest_first,3,9,rare,0.0037,0.0062
rarest_first,3,10,rare,0.0232,0.0240
rarest_first,3,11,rare,0.0144,0.0178
rarest_first,3,12,rare,0.0087,0.0130
rarest_first,3,13,rare,0.0244,0.0252
rarest_first,3,14,rare,0.0255,0.0267
rarest_first,3,15,rare,0.0215,0.0228
rarest_first,4,0,common,0.0076,0.0112
rarest_first,4,1,common,0.0034,0.0056
rarest_first,4,2,common,0.0033,0.0054
rarest_first,4,3,common,0.0067,0.0095
rarest_first,4,4,common,0.0123,0.0151
rarest_first,4,5,common,0.0113,0.0141
rarest_first,4,6,common,0.0074,0.0109
rarest_first,4,7,common,0.0035,0.0060
rarest_first,4,8,rare,0.0167,0.0175
rarest_first,4,9,rare,0.0122,0.0154
rarest_first,4,10,rare,0.0034,0.0060
rarest_first,4,11,rare,0.0075,0.0110
rarest_first,4,12,rare,0.0179,0.0187
rarest_first,4,13,rare,0.0211,0.0219
rarest_first,4,14,rare,0.0201,0.0209
rarest_first,4,15,rare,0.0190,0.0199
random,0,0,common,0.0033,0.0058
random,0,1,common,0.0033,0.0054
random,0,2,common,0.0034,0.0059
random,0,3,common,0.0076,0.0113
random,0,4,common,0.0075,0.0107
random,0,5,common,0.0068,0.0094
random,0,6,common,0.0034,0.0061
random,0,7,common,0.0075,0.0109
random,0,8,rare,0.0198,0.0206
random,0,9,rare,0.0186,0.0194
random,0,10,rare,0.0175,0.0183
random,0,11,rare,0.0140,0.0149
random,0,12,rare,0.0164,0.0172
random,0,13,rare,0.0125,0.0137
random,0,14,rare,0.0209,0.0217
random,0,15,rare,0.0153,0.0160
random,1,0,common,0.0074,0.0112
random,1,1,common,0.0113,0.0137
random,1,2,common,0.0031,0.0054
random,1,3,common,0.0070,0.0096
random,1,4,common,0.0069,0.0094
random,1,5,common,0.0031,0.0053
random,1,6,common,0.0032,0.0058
random,1,7,common,0.0032,0.0058
random,1,8,rare,0.0177,0.0186
random,1,9,rare,0.0164,0.0173
random,1,10,rare,0.0212,0.0221
random,1,11,rare,0.0072,0.0100
random,1,12,rare,0.0189,0.0197
random,1,13,rare,0.0153,0.0161
random,1,14,rare,0.0200,0.0208
random,1,15,rare,0.0121,0.0144
random,2,0,common,0.0079,0.0120
random,2,1,common,0.0070,0.0097
random,2,2,common,0.0072,0.0098
random,2,3,common,0.0032,0.0055
random,2,4,common,0.0120,0.0144
random,2,5,common,0.0032,0.0054
random,2,6,common,0.0033,0.0060
random,2,7,common,0.0033,0.0060
random,2,8,rare,0.0186,0.0194
random,2,9,rare,0.0175,0.0183
random,2,10,rare,0.0077,0.0118
random,2,11,rare,0.0209,0.0221
random,2,12,rare,0.0197,0.0205
random,2,13,rare,0.0131,0.0157
random,2,14,rare,0.0163,0.0171
random,2,15,rare,0.0225,0.0234
random,3,0,common,0.0106,0.0148
random,3,1,common,0.0160,0.0222
random,3,2,common,0.0055,0.0083
random,3,3,common,0.0057,0.0092
random,3,4,common,0.0056,0.0090
random,3,5,common,0.0170,0.0227
random,3,6,common,0.0103,0.0137
random,3,7,common,0.0111,0.0183
random,3,8,rare,0.0109,0.0157
random,3,9,rare,0.0335,0.0348
random,3,10,rare,0.0185,0.0243
random,3,11,rare,0.0261,0.0273
random,3,12,rare,0.0299,0.0310
random,3,13,rare,0.0057,0.0090
random,3,14,rare,0.0280,0.0293
random,3,15,rare,0.0316,0.0329
random,4,0,common,0.0142,0.0178
random,4,1,common,0.0094,0.0135
random,4,2,common,0.0046,0.0076
random,4,3,common,0.0089,0.0120
random,4,4,common,0.0044,0.0074
random,4,5,common,0.0091,0.0132
random,4,6,common,0.0046,0.0080
random,4,7,common,0.0045,0.0075
random,4,8,rare,0.0222,0.0230
random,4,9,rare,0.0146,0.0180
random,4,10,rare,0.0258,0.0269
random,4,11,rare,0.0092,0.0134
random,4,12,rare,0.0195,0.0206
random,4,13,rare,0.0233,0.0241
random,4,14,rare,0.0245,0.0254
random,4,15,rare,0.0210,0.0218
